hostID,posX,posY,timeEnterS,timeEnterC,timeEnterI,timeEnterR
0,0.417575780975,0.780615415953,-1.0,-1.0,0.0,3.0579461721
1,0.886552452894,0.00111219060957,0.0,1.79022578066,1.79029908655,25.0209479104
2,0.785306497007,0.0910638530227,0.0,1.89735843631,1.89740707244,5.29476334932
3,0.0593657700652,0.605835694782,0.0,2.02200118325,2.0220788521,3.26150564808
4,0.884310026785,0.790304941817,0.0,2.26056032097,2.26070406746,29.2596488287
5,0.456882430798,0.680577218177,0.0,1.64465551553,1.64467168279,7.09843818489
6,0.163189615241,0.78343846711,0.0,1.43918065368,1.43941619499,10.0733834449
7,0.615990177503,0.0639693467982,0.0,1.68046842755,1.68052176607,26.0176136297
8,0.728479950532,0.829203720775,0.0,1.82397248338,1.82406537631,7.15213661215
9,0.158210066497,0.474768881187,0.0,1.88294173082,1.88326975997,5.8012311409
10,0.142830973852,0.257432869021,0.0,1.19406229982,1.19418289262,20.7385191231
11,0.0325145156302,0.573975532802,0.0,1.4951173201,1.49531973607,6.71365600585
12,0.835125597658,0.122332735783,0.0,1.82417359488,1.824291615,5.01895838401
13,0.803438483277,0.148861351465,0.0,2.10065320011,2.10066422493,5.83130512115
14,0.561915877494,0.0133513838257,0.0,2.05001752835,2.05013909468,8.15423727348
15,0.107391552145,0.568443763578,0.0,1.4505690633,1.45061035112,9.16816726309
16,0.814810306639,0.0192615963884,0.0,1.84588189687,1.84597602088,3.12385376232
17,0.83714106653,0.765375447451,0.0,1.39383837775,1.393885657,5.62985956967
18,0.661861815343,0.993113848035,0.0,1.85136966859,1.85138304744,5.42166911269
19,0.986138751956,0.840552671429,0.0,1.92581163283,1.92591301754,11.3488757023
20,0.155248754534,0.776907099237,0.0,1.23586592289,1.23616647814,6.50929443819
21,0.649938853644,0.8652597093,0.0,1.73145135934,1.73158700561,11.0959238905
22,0.820760142079,0.619756991215,0.0,1.8083989319,1.8085706781,12.299082143
23,0.154782292233,0.0670799489072,0.0,1.87424468224,1.87424952013,4.56153984102
24,0.723858798122,0.244654162019,0.0,1.61950981149,1.61951871471,2.99307291546
25,0.511890941817,0.275206893534,0.0,1.50621581849,1.50642480874,15.1343607434
26,0.188011445133,0.540287138938,0.0,1.71559070954,1.71567831424,17.5043507854
27,0.393696655602,0.116981487214,0.0,1.66492629386,1.66498294189,16.2229252529
28,0.856774120653,0.0256562448134,0.0,1.43606304256,1.43633609933,9.73182895622
29,0.787046671419,0.712513433984,0.0,1.55616092659,1.55645744521,21.5008241334
30,0.881080415059,0.539904549372,0.0,1.25578038055,1.25593937641,3.41756997695
31,0.0123403121928,0.785432065861,0.0,1.25619404352,1.25619791203,18.2996535352
32,0.637332713282,0.287779587731,0.0,1.64448723008,1.64456137146,19.3979192362
33,0.15302867896,0.599207463332,0.0,1.46295901158,1.46303631923,4.79088145045
34,0.72409950248,0.414360320029,0.0,1.60904181842,1.6091458626,12.8371441999
35,0.894760695583,0.0903070586866,0.0,2.41248039264,2.41256089399,17.0616020034
36,0.825362952228,0.934223327258,0.0,1.95075859186,1.95083807013,18.2474527523
37,0.682734185137,0.972306530861,0.0,2.1471309443,2.14722113881,5.44041981557
38,0.316974579762,0.609723317639,0.0,1.71258078831,1.71273095769,5.72203628042
39,0.688573201842,0.178502082961,0.0,1.9649491844,1.96505873098,5.93901485672
40,0.420895896077,0.307379849087,0.0,1.77635634286,1.77640921611,6.31160097853
41,0.710060703962,0.719467307332,0.0,1.30571945092,1.30574206681,8.24737594944
42,0.507883726922,0.689564684621,0.0,2.04472635864,2.04474488677,5.98307148019
43,0.251212422071,0.600257855819,0.0,1.6424614565,1.64251579218,2.84852113942
44,0.4557501049,0.0430631250359,0.0,1.46680213399,1.46685155668,10.4373071176
45,0.320313092992,0.740186346952,0.0,1.6922018424,1.69221461447,9.99412142028
46,0.776032173362,0.901082061702,0.0,2.12110855121,2.12114736361,23.9533517886
47,0.841982958566,0.997471962357,0.0,1.77415658139,1.77420222587,3.34862101368
48,0.355814518407,0.890692896114,0.0,1.69490761388,1.69497226729,2.5538050601
49,0.112074202049,0.989010103331,0.0,1.3652268043,1.36523388294,3.78616863205
50,0.80201326969,0.884754058624,0.0,1.43725765197,1.43728717467,9.31725175383
51,0.486759260525,0.337385381369,0.0,1.95397422821,1.95402200771,3.18429137209
52,0.181714870022,0.00382971804742,0.0,1.56920722886,1.56953344123,11.6687854875
53,0.342985666023,0.600795930493,0.0,0.633053049756,0.633114764222,24.8995564657
54,0.515791673471,0.582611788789,0.0,1.63109574343,1.63109578286,4.09865987381
55,0.984444790021,0.822093142672,0.0,1.67828698005,1.67848176061,9.12626353909
56,0.579568209994,0.234328027123,0.0,2.06636944341,2.06649991986,5.59015540111
57,0.307031796333,0.0547723804935,0.0,1.51115479756,1.51116352656,4.18083388547
58,0.343716940923,0.792925242251,0.0,1.62885773508,1.62887128587,10.2831605654
59,0.877333444093,0.0815424330868,0.0,1.85804102932,1.85806542853,29.9060633436
60,0.00669365406892,0.530705462045,0.0,1.50555287498,1.50564507207,12.916705109
61,0.77328051275,0.0233567204033,0.0,1.74581284575,1.74622914146,16.5646144774
62,0.403297537573,0.118588666527,0.0,1.85222494435,1.85236868847,14.6747399328
63,0.0635071820143,0.544878291471,0.0,1.47868009683,1.478758884,7.20381815738
64,0.664333311945,0.946670688816,0.0,1.76524000371,1.76525791775,2.17341818243
65,0.606811009005,0.361710832757,0.0,0.839707718635,0.839729732284,15.2233573959
66,0.0236010387271,0.847933754512,0.0,1.5402231167,1.54041522053,3.72629096788
67,0.721925022128,0.662287423728,0.0,1.34628745933,1.34634862908,5.99610367687
68,0.201637234331,0.802421981781,0.0,1.81354841236,1.81392093682,21.9314030945
69,0.234556547227,0.788984615503,0.0,1.76570484471,1.76579303881,3.5544450524
70,0.278910499044,0.903008699468,0.0,1.56393863222,1.56414543057,5.97342439854
71,0.885279323599,0.928641726272,0.0,1.94328451246,1.94352318918,16.7113691664
72,0.0775042043331,0.186485250078,0.0,1.51906437215,1.51926858485,15.0382401422
73,0.0756426352047,0.0674205083254,0.0,1.77874142725,1.7788988888,12.3600568655
74,0.858533142949,0.459936706092,0.0,1.9184578257,1.91888770818,3.98264461152
75,0.652603259121,0.394073287905,0.0,1.70866441917,1.70867988001,16.0978667728
76,0.295272840738,0.277191476459,0.0,1.67588438907,1.67595402071,16.8644020573
77,0.458186408408,0.940541430597,0.0,1.97220569776,1.9722762101,15.9130120561
78,0.909401214312,0.426356523605,0.0,1.7770914579,1.7771541103,29.806358249
79,0.00203846404482,0.00543001391051,0.0,2.02070608289,2.02077567984,3.03747438565
80,0.758328421068,0.820478241651,0.0,1.68228238318,1.68231819383,5.94203533473
81,0.126660235005,0.608520153736,0.0,1.73536414331,1.73542780341,20.3738267658
82,0.957231028691,0.418067794799,0.0,1.596238528,1.59647473473,3.26664021406
83,0.226933187718,0.812719981754,0.0,1.54428027875,1.54444462309,12.2449893798
84,0.657563716336,0.71105218184,0.0,1.4588587263,1.45896430184,19.230464624
85,0.553652449699,0.489963409005,0.0,1.77274358624,1.77278740025,3.43477454203
86,0.735432156162,0.291258927037,0.0,1.79204897066,1.79214924669,3.88391819682
